mcav_gene_name,orthogroup,entry
Mcav_TRINITY_GG_53686_c11_g2_i1.p1,OG0006980,Q3TZA2
Mcav_TRINITY_GG_18356_c0_g1_i1.p1,OG0002263,NA
Mcav_TRINITY_GG_35047_c1_g1_i1.p1,OG0011238,Q6NUB2
Mcav_TRINITY_GG_35005_c41_g1_i5.p1,OG0003894,Q8H1F7
Mcav_TRINITY_GG_15583_c0_g1_i1.p1,OG0002152,NA
Mcav_TRINITY_GG_54100_c3_g1_i1.p1,OG0012503,Q9Z0T6
Mcav_TRINITY_GG_3647_c3_g1_i1.p3,OG0002484,Q09167
Mcav_TRINITY_GG_7112_c22_g1_i1.p1,OG0010007,NA
Mcav_TRINITY_GG_62255_c7_g2_i1.p1,OG0007934,Q8C525
Mcav_TRINITY_GG_14665_c5_g1_i1.p2,OG0009994,Q8CE50
Mcav_TRINITY_GG_54791_c4_g1_i1.p1,OG0005711,P34121
Mcav_TRINITY_GG_49471_c1_g1_i1.p1,OG0011060,Q63ZK1
Mcav_TRINITY_GG_24263_c7_g1_i1.p1,OG0000223,Q90YS0
Mcav_TRINITY_GG_52418_c5_g1_i1.p1,OG0008307,Q7ZUG0
Mcav_TRINITY_GG_10370_c2_g1_i1.p1,OG0005757,Q5ZKJ5
Mcav_TRINITY_GG_52239_c0_g1_i1.p1,OG0011521,NA
Mcav_TRINITY_GG_33714_c6_g1_i2.p1,OG0007531,Q8K3X3
Mcav_TRINITY_GG_28013_c5_g1_i1.p1,OG0007113,Q8R3P7
Mcav_TRINITY_GG_36632_c6_g1_i2.p1,OG0010663,Q08290
Mcav_TRINITY_GG_23553_c13_g1_i1.p1,OG0000415,Q9V3G1
Mcav_TRINITY_GG_15290_c3_g1_i1.p1,OG0010105,NA
Mcav_TRINITY_GG_46248_c2_g1_i1.p1,OG0007221,P07919
Mcav_TRINITY_GG_49697_c7_g1_i1.p1,OG0004129,Q5EAD5
Mcav_TRINITY_GG_18942_c3_g1_i1.p1,OG0007599,Q53F19
Mcav_TRINITY_GG_52680_c1_g1_i1.p1,OG0004774,Q90YU6
Mcav_TRINITY_GG_29917_c1_g1_i1.p1,OG0005110,Q99MM4
Mcav_TRINITY_GG_23832_c9_g1_i2.p1,OG0002376,Q4G0X4
Mcav_TRINITY_GG_27896_c2_g1_i1.p1,OG0002925,NA
Mcav_TRINITY_GG_17483_c15_g1_i1.p1,OG0012028,Q6GQ68
Mcav_TRINITY_GG_26581_c8_g1_i1.p1,OG0010730,Q8BSQ9
Mcav_TRINITY_GG_12657_c10_g1_i1.p1,OG0000980,Q6IVV8
Mcav_TRINITY_GG_12570_c2_g1_i1.p1,OG0009963,O16025
Mcav_TRINITY_GG_23193_c2_g2_i1.p1,OG0002118,Q99ME2
Mcav_TRINITY_GG_12153_c4_g1_i3.p1,OG0007473,Q6P632
Mcav_TRINITY_GG_19332_c5_g1_i3.p1,OG0005470,Q567G6
Mcav_TRINITY_GG_11755_c5_g1_i3.p1,OG0010372,Q5F3L7
Mcav_TRINITY_GG_28944_c4_g1_i3.p1,OG0004200,Q9DBN1
Mcav_TRINITY_GG_6659_c10_g1_i3.p1,OG0003851,Q8IY33
Mcav_TRINITY_GG_42290_c30_g1_i1.p1,OG0008051,Q9V785
Mcav_TRINITY_GG_26573_c1_g1_i1.p1,OG0004376,NA
Mcav_TRINITY_GG_26578_c0_g1_i1.p1,OG0011473,NA
Mcav_TRINITY_GG_8530_c8_g1_i1.p1,OG0007122,P42587
Mcav_TRINITY_GG_38749_c2_g1_i3.p1,OG0010595,O88273
Mcav_TRINITY_GG_7458_c72_g1_i1.p1,OG0008366,H3BCW1
Mcav_TRINITY_GG_15118_c6_g1_i1.p1,OG0005182,Q8TC29
Mcav_TRINITY_GG_41023_c188_g1_i1.p1,OG0001515,NA
Mcav_TRINITY_GG_43651_c5_g1_i3.p1,OG0007998,Q96BI1
Mcav_TRINITY_GG_13706_c1_g1_i1.p1,OG0000592,Q76KP1
Mcav_TRINITY_GG_22316_c0_g1_i1.p1,OG0010494,NA
Mcav_TRINITY_GG_36403_c5_g1_i2.p1,OG0003045,A7RX26
Mcav_TRINITY_GG_13348_c6_g1_i1.p1,OG0004335,Q99PL6
Mcav_TRINITY_GG_20309_c0_g1_i2.p1,OG0005528,Q9NPF2
Mcav_TRINITY_GG_41840_c26_g1_i3.p1,OG0001144,A9JR78
Mcav_TRINITY_GG_52865_c4_g1_i2.p1,OG0012233,NA
Mcav_TRINITY_GG_35285_c5_g1_i1.p1,OG0004137,P18445
Mcav_TRINITY_GG_28784_c6_g1_i1.p1,OG0011353,NA
Mcav_TRINITY_GG_15547_c12_g1_i1.p1,OG0005577,Q6P7P5
Mcav_TRINITY_GG_27785_c0_g1_i1.p1,OG0000337,P47032
Mcav_TRINITY_GG_8232_c0_g1_i2.p1,OG0003015,Q3UZD5
Mcav_TRINITY_GG_31911_c3_g1_i1.p1,OG0007844,Q9H8Y8
Mcav_TRINITY_GG_18949_c0_g1_i1.p1,OG0011546,Q6NS09
Mcav_TRINITY_GG_50847_c3_g1_i1.p1,OG0010113,Q7TN83
Mcav_TRINITY_GG_25462_c18_g1_i1.p1,OG0001932,A7RR04
Mcav_TRINITY_GG_46285_c0_g1_i1.p1,OG0007783,Q28ES4
Mcav_TRINITY_GG_60309_c1_g1_i1.p1,OG0010015,Q68DU8
Mcav_TRINITY_GG_22525_c0_g1_i1.p1,OG0010243,B3EWZ2
Mcav_TRINITY_GG_17076_c4_g1_i1.p1,OG0005985,NA
Mcav_TRINITY_GG_15448_c0_g1_i2.p1,OG0004202,F1SYG6
Mcav_TRINITY_GG_32852_c4_g1_i1.p2,OG0011418,Q05BC3
Mcav_TRINITY_GG_24263_c11_g1_i1.p1,OG0003825,Q9CZJ1
Mcav_TRINITY_GG_50009_c2_g1_i2.p1,OG0008534,A6QLU6
Mcav_TRINITY_GG_27799_c119_g1_i4.p1,OG0012580,Q6P2W5
Mcav_TRINITY_GG_14968_c1_g1_i1.p1,OG0005413,Q02543
Mcav_TRINITY_GG_34194_c7_g1_i1.p1,OG0011945,A4FUB8
Mcav_TRINITY_GG_13185_c14_g1_i7.p1,OG0000612,Q63276
Mcav_TRINITY_GG_42983_c5_g1_i3.p1,OG0012615,Q7Z402
Mcav_TRINITY_GG_43158_c10_g1_i3.p1,OG0008867,P52756
Mcav_TRINITY_GG_40479_c130_g3_i3.p1,OG0004372,P59015
Mcav_TRINITY_GG_30004_c0_g1_i1.p1,OG0010763,NA
Mcav_TRINITY_GG_62136_c3_g1_i1.p1,OG0011902,A7MCS3
Mcav_TRINITY_GG_53874_c4_g1_i1.p1,OG0001383,Q7ZUB2
Mcav_TRINITY_GG_41983_c4_g1_i1.p1,OG0012766,Q9NQT8
Mcav_TRINITY_GG_52692_c1_g1_i1.p1,OG0010421,Q5RKQ0
Mcav_TRINITY_GG_12666_c5_g1_i1.p1,OG0002265,P00920
Mcav_TRINITY_GG_32830_c7_g2_i1.p1,OG0011378,Q7TS68
Mcav_TRINITY_GG_7121_c1_g1_i1.p1,OG0006794,E5RQL4
Mcav_TRINITY_GG_38431_c1_g1_i1.p1,OG0000271,NA
Mcav_TRINITY_GG_14855_c17_g1_i1.p1,OG0004454,Q5ZMA6
Mcav_TRINITY_GG_41673_c0_g1_i1.p1,OG0001805,NA
Mcav_TRINITY_GG_60607_c5_g1_i1.p1,OG0002416,Q9UKV3
Mcav_TRINITY_GG_33951_c58_g1_i1.p1,OG0007640,NA
Mcav_TRINITY_GG_54166_c15_g1_i1.p1,OG0011667,Q5RDB9
Mcav_TRINITY_GG_10496_c11_g1_i1.p1,OG0010920,P14061
Mcav_TRINITY_GG_5717_c3_g1_i1.p1,OG0006146,Q9VIL0
Mcav_TRINITY_GG_16552_c5_g1_i2.p1,OG0004052,NA
Mcav_TRINITY_GG_41517_c1_g1_i1.p1,OG0010158,NA
Mcav_TRINITY_GG_3568_c1_g1_i1.p1,OG0007335,NA
Mcav_TRINITY_GG_35160_c6_g1_i1.p1,OG0011548,NA
Mcav_TRINITY_GG_24019_c9_g1_i3.p1,OG0007572,Q7A5L8
Mcav_TRINITY_GG_56225_c0_g1_i1.p1,OG0007400,NA
Mcav_TRINITY_GG_37351_c7_g2_i1.p1,OG0010169,Q8N9Y4
Mcav_TRINITY_GG_45464_c0_g1_i1.p1,OG0010176,Q63073
Mcav_TRINITY_GG_22131_c16_g1_i1.p1,OG0007636,Q4SQ06
Mcav_TRINITY_GG_28260_c1_g1_i1.p1,OG0000772,P62282
Mcav_TRINITY_GG_21099_c16_g1_i1.p1,OG0011369,O08785
Mcav_TRINITY_GG_3042_c117_g1_i1.p1,OG0008854,Q9P2P6
Mcav_TRINITY_GG_32606_c22_g1_i1.p1,OG0010349,NA
Mcav_TRINITY_GG_15047_c0_g1_i1.p1,OG0001208,Q8AWF2
Mcav_TRINITY_GG_28919_c92_g1_i1.p1,OG0007345,Q8R2R5
Mcav_TRINITY_GG_29158_c2_g1_i1.p1,OG0007279,Q8BFR6
Mcav_TRINITY_GG_60903_c6_g1_i3.p2,OG0000286,B0JZG0
Mcav_TRINITY_GG_20901_c0_g1_i1.p1,OG0002854,NA
Mcav_TRINITY_GG_49601_c109_g1_i1.p1,OG0010387,Q5U316
Mcav_TRINITY_GG_4140_c4_g1_i1.p1,OG0005710,Q08013
Mcav_TRINITY_GG_10484_c14_g1_i2.p1,OG0001824,P25324
Mcav_TRINITY_GG_9801_c9_g1_i1.p1,OG0005817,Q9NSD9
Mcav_TRINITY_GG_35105_c16_g1_i1.p1,OG0005456,Q9H324
Mcav_TRINITY_GG_16534_c3_g1_i1.p1,OG0012540,Q9P289
Mcav_TRINITY_GG_44238_c6_g1_i1.p1,OG0011564,Q8R205
Mcav_TRINITY_GG_33511_c0_g1_i1.p1,OG0003737,P05183
Mcav_TRINITY_GG_8245_c0_g1_i1.p1,OG0007631,Q9CQ46
Mcav_TRINITY_GG_35866_c0_g1_i1.p1,OG0000632,P61314
Mcav_TRINITY_GG_22708_c1_g1_i1.p1,OG0005371,Q0VC50
Mcav_TRINITY_GG_45505_c6_g1_i1.p1,OG0011812,Q6P5H6
Mcav_TRINITY_GG_42290_c31_g1_i2.p1,OG0011296,A6QP11
Mcav_TRINITY_GG_36606_c18_g1_i1.p1,OG0005142,P14318
Mcav_TRINITY_GG_31777_c0_g1_i1.p1,OG0000387,O60494
Mcav_TRINITY_GG_59633_c2_g1_i1.p2,OG0005137,Q9R1S0
Mcav_TRINITY_GG_37249_c2_g1_i1.p1,OG0002069,Q90YT3
Mcav_TRINITY_GG_60916_c1_g1_i1.p1,OG0007544,Q0VFD8
Mcav_TRINITY_GG_14586_c0_g1_i1.p1,OG0000309,NA
Mcav_TRINITY_GG_53014_c0_g1_i1.p1,OG0002530,Q9M2U3
Mcav_TRINITY_GG_33294_c22_g1_i1.p1,OG0008136,Q91X17
Mcav_TRINITY_GG_31160_c17_g1_i1.p1,OG0010853,Q17292
Mcav_TRINITY_GG_54175_c0_g1_i1.p1,OG0010260,NA
Mcav_TRINITY_GG_58481_c11_g1_i1.p1,OG0010812,Q90690
Mcav_TRINITY_GG_11107_c7_g1_i2.p1,OG0008153,O95847
Mcav_TRINITY_GG_13357_c4_g1_i3.p1,OG0003016,Q9QX72
Mcav_TRINITY_GG_49568_c8_g1_i1.p1,OG0011202,NA
Mcav_TRINITY_GG_3881_c8_g1_i1.p1,OG0005300,P59708
Mcav_TRINITY_GG_16508_c7_g1_i1.p1,OG0000401,NA
Mcav_TRINITY_GG_35256_c34_g1_i1.p1,OG0000131,NA
Mcav_TRINITY_GG_54513_c0_g1_i1.p1,OG0007947,I0IUP3
Mcav_TRINITY_GG_10555_c1_g1_i2.p3,OG0005916,Q49A88
Mcav_TRINITY_GG_61533_c11_g1_i1.p1,OG0007986,Q6AYD3
Mcav_TRINITY_GG_4673_c2_g2_i1.p1,OG0001551,Q7ZXB8
Mcav_TRINITY_GG_23021_c90_g1_i1.p2,OG0004258,B1H222
Mcav_TRINITY_GG_37245_c2_g1_i1.p1,OG0006579,Q76IC6
Mcav_TRINITY_GG_26531_c1_g1_i1.p1,OG0000510,NA
Mcav_TRINITY_GG_15050_c0_g1_i1.p1,OG0010817,Q28199
Mcav_TRINITY_GG_46747_c1_g1_i2.p1,OG0010893,A7RPT4
Mcav_TRINITY_GG_7774_c26_g1_i1.p1,OG0002156,P62083
Mcav_TRINITY_GG_13680_c0_g1_i2.p1,OG0000613,Q8IZF6
Mcav_TRINITY_GG_45759_c4_g1_i1.p1,OG0006199,Q9UQB3
Mcav_TRINITY_GG_35862_c34_g4_i1.p3,OG0008505,Q9D1P0
Mcav_TRINITY_GG_38113_c1_g1_i1.p2,OG0010145,NA
Mcav_TRINITY_GG_40432_c2_g1_i1.p1,OG0004379,A0FI79
Mcav_TRINITY_GG_28429_c0_g1_i1.p1,OG0006872,Q5HZL1
Mcav_TRINITY_GG_4000_c0_g1_i1.p1,OG0009988,NA
Mcav_TRINITY_GG_28719_c0_g1_i1.p1,OG0007158,A5PF61
Mcav_TRINITY_GG_61058_c2_g1_i1.p1,OG0010713,Q9NSI2
Mcav_TRINITY_GG_37334_c6_g1_i1.p1,OG0008156,D2XV59
Mcav_TRINITY_GG_17049_c4_g1_i1.p1,OG0003166,P35668
Mcav_TRINITY_GG_29883_c17_g1_i1.p1,OG0008201,A2RUV9
Mcav_TRINITY_GG_46234_c4_g1_i1.p1,OG0003924,B2RV13
Mcav_TRINITY_GG_27306_c0_g1_i1.p1,OG0010190,Q5R941
Mcav_TRINITY_GG_39416_c120_g1_i1.p1,OG0002244,Q94887
Mcav_TRINITY_GG_11293_c0_g1_i1.p1,OG0002775,A7YSY2
Mcav_TRINITY_GG_51715_c0_g1_i1.p1,OG0004860,NA
Mcav_TRINITY_GG_39841_c0_g1_i1.p1,OG0012225,Q6NJC8
Mcav_TRINITY_GG_25592_c0_g1_i3.p1,OG0003853,P29176
Mcav_TRINITY_GG_20318_c80_g1_i1.p1,OG0011725,NA
Mcav_TRINITY_GG_24012_c0_g1_i1.p1,OG0007670,P21670
Mcav_TRINITY_GG_15060_c12_g1_i2.p1,OG0005988,Q0IHI3
Mcav_TRINITY_GG_22984_c94_g1_i1.p1,OG0008497,P13195
Mcav_TRINITY_GG_17091_c6_g1_i3.p1,OG0005698,P0DOC8
Mcav_TRINITY_GG_5127_c4_g1_i1.p2,OG0003882,E9PV86
Mcav_TRINITY_GG_44002_c1_g1_i1.p1,OG0011108,NA
Mcav_TRINITY_GG_33691_c1_g1_i1.p1,OG0011138,Q96C01
Mcav_TRINITY_GG_36653_c0_g1_i1.p1,OG0007448,NA
Mcav_TRINITY_GG_30136_c1_g1_i1.p1,OG0011656,Q7TSV3
Mcav_TRINITY_GG_42294_c2_g1_i1.p1,OG0005553,NA
Mcav_TRINITY_GG_14726_c2_g1_i2.p1,OG0007148,Q6AY85
Mcav_TRINITY_GG_1180_c22_g2_i1.p2,OG0000744,P08183
Mcav_TRINITY_GG_7921_c9_g1_i1.p1,OG0005648,NA
Mcav_TRINITY_GG_62265_c4_g1_i1.p1,OG0002180,Q2YHJ2
Mcav_TRINITY_GG_7191_c4_g1_i2.p1,OG0008886,P26368
Mcav_TRINITY_GG_19341_c3_g1_i1.p1,OG0007699,Q9NPA2
Mcav_TRINITY_GG_60653_c1_g1_i2.p1,OG0005360,F4IZC4
Mcav_TRINITY_GG_11116_c1_g1_i1.p1,OG0003954,NA
Mcav_TRINITY_GG_42599_c3_g1_i1.p1,OG0007774,NA
Mcav_TRINITY_GG_33986_c8_g1_i1.p1,OG0002460,P42357
Mcav_TRINITY_GG_58130_c9_g1_i2.p1,OG0004374,Q54KD0
Mcav_TRINITY_GG_52334_c28_g1_i4.p1,OG0000663,Q6ZHE5
Mcav_TRINITY_GG_5226_c15_g1_i1.p1,OG0007859,Q9NS73
Mcav_TRINITY_GG_22807_c6_g1_i1.p1,OG0005579,A7RNG8
Mcav_TRINITY_GG_16191_c2_g1_i5.p1,OG0001764,P31646
Mcav_TRINITY_GG_17117_c3_g1_i2.p1,OG0008561,Q6TCG8
Mcav_TRINITY_GG_23021_c80_g1_i1.p1,OG0011441,NA
Mcav_TRINITY_GG_45274_c0_g1_i1.p1,OG0011107,NA
Mcav_TRINITY_GG_17860_c2_g1_i1.p1,OG0007819,Q9Z2Y8
Mcav_TRINITY_GG_32928_c0_g1_i1.p1,OG0003148,Q25011
Mcav_TRINITY_GG_32684_c2_g1_i1.p1,OG0007919,Q9Y3B3
Mcav_TRINITY_GG_43220_c143_g1_i1.p1,OG0006518,Q09930
Mcav_TRINITY_GG_19214_c0_g1_i1.p1,OG0005964,Q9NY93
Mcav_TRINITY_GG_22114_c1_g1_i1.p1,OG0003144,Q61805
Mcav_TRINITY_GG_1204_c3_g1_i1.p1,OG0010519,O46564
Mcav_TRINITY_GG_33823_c4_g2_i1.p1,OG0008584,Q32M78
Mcav_TRINITY_GG_38505_c20_g1_i1.p1,OG0000185,Q9VCA2
Mcav_TRINITY_GG_54716_c0_g1_i1.p1,OG0005115,NA
Mcav_TRINITY_GG_61340_c23_g1_i1.p1,OG0005925,Q8C0L8
Mcav_TRINITY_GG_37068_c1_g1_i1.p1,OG0011444,Q99578
Mcav_TRINITY_GG_45738_c4_g1_i1.p1,OG0011139,Q2KI92
Mcav_TRINITY_GG_31680_c2_g1_i1.p1,OG0003720,NA
Mcav_TRINITY_GG_2186_c16_g1_i4.p1,OG0002188,NA
Mcav_TRINITY_GG_9668_c1_g1_i1.p1,OG0003088,P0DPA6
Mcav_TRINITY_GG_38842_c13_g1_i1.p1,OG0002594,P55264
Mcav_TRINITY_GG_54717_c4_g1_i1.p1,OG0011424,Q8VDY9
Mcav_TRINITY_GG_55013_c0_g1_i1.p1,OG0010546,Q04892
Mcav_TRINITY_GG_40971_c6_g1_i1.p1,OG0004151,Q96LQ0
Mcav_TRINITY_GG_44256_c5_g1_i1.p1,OG0011240,NA
Mcav_TRINITY_GG_58130_c8_g1_i1.p1,OG0008865,Q5THR3
Mcav_TRINITY_GG_38285_c1_g1_i1.p1,OG0007465,P49706
Mcav_TRINITY_GG_19206_c32_g4_i1.p2,OG0004453,C3YWU0
Mcav_TRINITY_GG_32663_c7_g1_i1.p1,OG0009949,NA
Mcav_TRINITY_GG_38845_c0_g2_i1.p1,OG0008279,P38571
Mcav_TRINITY_GG_19668_c1_g1_i1.p1,OG0001843,A7SBN6
Mcav_TRINITY_GG_38622_c0_g1_i1.p1,OG0010903,Q5R868
Mcav_TRINITY_GG_62154_c53_g2_i1.p1,OG0000314,P21927
Mcav_TRINITY_GG_45672_c5_g1_i1.p1,OG0005362,O75715
Mcav_TRINITY_GG_51483_c0_g1_i1.p1,OG0007598,Q5ZLP2
Mcav_TRINITY_GG_48805_c0_g3_i1.p1,OG0011636,Q0R4F1
Mcav_TRINITY_GG_32857_c23_g1_i1.p1,OG0007771,NA
Mcav_TRINITY_GG_50931_c15_g1_i2.p1,OG0005468,Q05B60
Mcav_TRINITY_GG_27990_c16_g1_i1.p1,OG0006654,Q9D6P8
Mcav_TRINITY_GG_6852_c2_g1_i1.p1,OG0012463,O43808
Mcav_TRINITY_GG_12696_c15_g1_i1.p1,OG0011357,Q02357
Mcav_TRINITY_GG_49619_c5_g3_i1.p1,OG0005828,O93403
Mcav_TRINITY_GG_16017_c3_g1_i1.p1,OG0007576,A4QNE6
Mcav_TRINITY_GG_54424_c5_g1_i1.p1,OG0011883,Q86W47
Mcav_TRINITY_GG_56853_c5_g1_i1.p1,OG0011824,O96005
Mcav_TRINITY_GG_12725_c0_g1_i1.p1,OG0005016,Q28107
Mcav_TRINITY_GG_9306_c48_g1_i1.p1,OG0003139,P38532
Mcav_TRINITY_GG_666_c13_g1_i1.p1,OG0005827,Q4R562
Mcav_TRINITY_GG_10312_c2_g1_i2.p1,OG0000909,NA
Mcav_TRINITY_GG_60983_c3_g1_i1.p1,OG0004726,Q9I8C7
Mcav_TRINITY_GG_5456_c2_g1_i2.p1,OG0006175,Q5ZL34
Mcav_TRINITY_GG_57375_c0_g1_i1.p1,OG0011259,Q90Z12
Mcav_TRINITY_GG_20860_c1_g1_i1.p1,OG0007295,G3M4F8
Mcav_TRINITY_GG_14519_c1_g1_i1.p1,OG0000695,NA
Mcav_TRINITY_GG_9859_c11_g1_i1.p1,OG0005327,A3KP77
Mcav_TRINITY_GG_53899_c10_g1_i1.p2,OG0012232,Q90419
Mcav_TRINITY_GG_25995_c4_g1_i1.p1,OG0007315,A4L691
Mcav_TRINITY_GG_21920_c0_g1_i1.p1,OG0000246,B3EWZ5
Mcav_TRINITY_GG_31624_c4_g1_i1.p1,OG0001827,Q9XWB9
Mcav_TRINITY_GG_37613_c1_g1_i1.p1,OG0010759,Q8N6F8
Mcav_TRINITY_GG_26035_c1_g1_i1.p1,OG0004244,Q9C882
Mcav_TRINITY_GG_39562_c2_g1_i1.p1,OG0012683,Q13423
Mcav_TRINITY_GG_34199_c3_g1_i2.p1,OG0005521,Q9P4X3
Mcav_TRINITY_GG_49753_c0_g1_i2.p1,OG0002879,Q8CDL9
Mcav_TRINITY_GG_60562_c2_g1_i1.p1,OG0007362,NA
Mcav_TRINITY_GG_59225_c5_g1_i1.p1,OG0005503,P30740
Mcav_TRINITY_GG_15439_c4_g1_i1.p1,OG0005583,Q14493
Mcav_TRINITY_GG_45019_c5_g1_i1.p1,OG0007677,Q3T0X9
Mcav_TRINITY_GG_50888_c2_g1_i1.p1,OG0007847,Q5RBN9
Mcav_TRINITY_GG_50913_c6_g1_i1.p1,OG0001557,NA
Mcav_TRINITY_GG_266_c2_g1_i3.p2,OG0008430,A8Y5U1
Mcav_TRINITY_GG_39123_c7_g1_i2.p1,OG0007924,NA
Mcav_TRINITY_GG_41130_c56_g1_i1.p1,OG0004925,Q8BK64
Mcav_TRINITY_GG_46656_c1_g1_i1.p1,OG0010568,NA
Mcav_TRINITY_GG_2864_c8_g1_i1.p1,OG0010688,NA
Mcav_TRINITY_GG_10129_c7_g1_i2.p1,OG0005283,NA
Mcav_TRINITY_GG_23041_c3_g1_i2.p1,OG0006580,Q5ZJ85
Mcav_TRINITY_GG_42696_c0_g1_i6.p1,OG0010773,Q9CRC8
Mcav_TRINITY_GG_37219_c1_g1_i1.p1,OG0011073,B8A4W9
Mcav_TRINITY_GG_50861_c1_g1_i2.p1,OG0003914,Q8U3Y2
Mcav_TRINITY_GG_53500_c15_g1_i1.p1,OG0011891,Q0V9K1
Mcav_TRINITY_GG_25283_c3_g1_i2.p1,OG0006000,NA
Mcav_TRINITY_GG_19068_c0_g1_i1.p1,OG0003579,NA
Mcav_TRINITY_GG_37723_c22_g1_i1.p1,OG0001550,A8XJ44
Mcav_TRINITY_GG_51461_c8_g1_i1.p1,OG0005023,A6QLP7
Mcav_TRINITY_GG_42670_c0_g1_i1.p1,OG0000385,Q2EMV9
Mcav_TRINITY_GG_42864_c0_g1_i2.p1,OG0003056,Q8BG58
Mcav_TRINITY_GG_6554_c4_g1_i1.p2,OG0000340,O61231
Mcav_TRINITY_GG_40416_c1_g1_i1.p1,OG0000262,O57592
Mcav_TRINITY_GG_58765_c3_g1_i2.p1,OG0001884,P25490
Mcav_TRINITY_GG_47037_c0_g1_i1.p1,OG0005454,NA
Mcav_TRINITY_GG_27816_c12_g1_i1.p1,OG0008571,NA
Mcav_TRINITY_GG_35161_c0_g1_i1.p1,OG0005558,Q5REC2
Mcav_TRINITY_GG_8920_c1_g1_i1.p1,OG0007174,B3EWZ8
Mcav_TRINITY_GG_41715_c3_g1_i2.p1,OG0003981,P58197
Mcav_TRINITY_GG_45603_c3_g1_i1.p1,OG0012550,P90727
Mcav_TRINITY_GG_56726_c153_g1_i1.p1,OG0012135,Q3MHQ7
Mcav_TRINITY_GG_41724_c0_g1_i1.p1,OG0012466,P29083
Mcav_TRINITY_GG_12395_c3_g1_i1.p1,OG0008258,P30235
Mcav_TRINITY_GG_39288_c1_g1_i1.p1,OG0010170,Q5M9B7
Mcav_TRINITY_GG_36823_c2_g1_i2.p1,OG0010490,Q8VDP6
Mcav_TRINITY_GG_38672_c0_g1_i2.p1,OG0006789,Q2TBW5
Mcav_TRINITY_GG_39994_c5_g1_i2.p1,OG0004145,Q08CS6
Mcav_TRINITY_GG_946_c7_g1_i3.p1,OG0005659,Q9D554
Mcav_TRINITY_GG_38716_c5_g1_i1.p1,OG0012768,NA
Mcav_TRINITY_GG_396_c4_g1_i1.p1,OG0011727,Q3C1E9
Mcav_TRINITY_GG_26795_c142_g1_i1.p1,OG0010983,Q8QGW7
Mcav_TRINITY_GG_20614_c1_g1_i1.p1,OG0010001,P54357
Mcav_TRINITY_GG_15029_c70_g1_i1.p1,OG0000645,P62832
Mcav_TRINITY_GG_25825_c3_g1_i1.p1,OG0007663,NA
Mcav_TRINITY_GG_1574_c12_g1_i1.p1,OG0007470,A6QQ21
Mcav_TRINITY_GG_18421_c45_g1_i1.p1,OG0000606,P25291
Mcav_TRINITY_GG_50288_c4_g2_i4.p1,OG0001226,Q58CU3
Mcav_TRINITY_GG_23980_c0_g1_i1.p1,OG0000081,NA
Mcav_TRINITY_GG_7623_c5_g1_i1.p1,OG0004263,NA
Mcav_TRINITY_GG_24435_c5_g1_i3.p1,OG0005370,Q96AG4
Mcav_TRINITY_GG_60488_c4_g1_i1.p1,OG0007330,NA
Mcav_TRINITY_GG_53627_c4_g1_i1.p1,OG0009990,A8IW99
Mcav_TRINITY_GG_17235_c2_g1_i1.p1,OG0003936,NA
Mcav_TRINITY_GG_9922_c5_g1_i1.p1,OG0008088,O75431
Mcav_TRINITY_GG_19581_c1_g1_i1.p1,OG0005690,P32020
Mcav_TRINITY_GG_29823_c3_g1_i2.p1,OG0008149,NA
Mcav_TRINITY_GG_4981_c9_g1_i1.p1,OG0007376,P54357
Mcav_TRINITY_GG_38880_c1_g1_i1.p1,OG0010879,NA
Mcav_TRINITY_GG_40669_c0_g1_i1.p1,OG0003876,O57382
Mcav_TRINITY_GG_58764_c1_g1_i1.p1,OG0003190,NA
Mcav_TRINITY_GG_18953_c7_g1_i1.p1,OG0012001,Q0V9T6
Mcav_TRINITY_GG_7638_c2_g1_i1.p1,OG0002705,O75351
Mcav_TRINITY_GG_55158_c0_g1_i1.p1,OG0010843,Q8C142
Mcav_TRINITY_GG_17244_c3_g1_i1.p1,OG0001756,Q99ME9
Mcav_TRINITY_GG_2239_c0_g1_i1.p1,OG0002533,NA
Mcav_TRINITY_GG_9159_c5_g1_i2.p1,OG0007999,Q2TBW2
Mcav_TRINITY_GG_11619_c4_g1_i1.p1,OG0004250,Q9UQ07
Mcav_TRINITY_GG_34399_c22_g1_i3.p1,OG0007811,Q867B0
Mcav_TRINITY_GG_5988_c6_g1_i3.p1,OG0001921,Q0VD27
Mcav_TRINITY_GG_43220_c116_g1_i1.p1,OG0010577,Q08331
Mcav_TRINITY_GG_31190_c7_g1_i1.p1,OG0001266,Q5VZK9
Mcav_TRINITY_GG_49574_c1_g1_i2.p2,OG0011124,O08658
Mcav_TRINITY_GG_34357_c5_g1_i1.p1,OG0002513,Q91ZI0
Mcav_TRINITY_GG_59350_c0_g1_i1.p1,OG0008023,Q9D8N6
Mcav_TRINITY_GG_9327_c1_g1_i1.p1,OG0007457,A6QLR4
Mcav_TRINITY_GG_6433_c0_g1_i1.p1,OG0006911,NA
Mcav_TRINITY_GG_9903_c0_g1_i1.p1,OG0007074,Q9W0Y8
Mcav_TRINITY_GG_28545_c7_g1_i1.p1,OG0001238,NA
Mcav_TRINITY_GG_12735_c0_g1_i1.p1,OG0012761,Q96LL9
Mcav_TRINITY_GG_19885_c4_g2_i1.p1,OG0001916,A6H7B8
