Mcav_protein_seq,Human_gene_name,Human_gene_pfam,Orthogroup,Entry
Mcav_TRINITY_GG_17277_c5_g1_i1.p1,NP_000889.3,PF00890.28,OG0001041,NA
Mcav_TRINITY_GG_17277_c5_g1_i1.p1,NP_000889.3,PF01266.28,OG0001041,NA
Mcav_TRINITY_GG_17277_c5_g1_i1.p1,NP_690863.1,PF13454.10,OG0001041,NA
Mcav_TRINITY_GG_17277_c5_g1_i1.p1,NP_000231.1,PF13454.10,OG0001041,NA
Mcav_TRINITY_GG_17277_c5_g1_i1.p1,NP_690863.1,PF05834.16,OG0001041,NA
Mcav_TRINITY_GG_17277_c5_g1_i1.p1,NP_000231.1,PF13450.10,OG0001041,NA
Mcav_TRINITY_GG_17277_c5_g1_i1.p1,NP_690863.1,PF00070.31,OG0001041,NA
Mcav_TRINITY_GG_17277_c5_g1_i1.p1,NP_690863.1,PF01266.28,OG0001041,NA
Mcav_TRINITY_GG_17277_c5_g1_i1.p1,NP_690863.1,PF13450.10,OG0001041,NA
Mcav_TRINITY_GG_17277_c5_g1_i1.p1,NP_000889.3,PF12831.11,OG0001041,NA
Mcav_TRINITY_GG_17277_c5_g1_i1.p1,NP_000889.3,PF13454.10,OG0001041,NA
Mcav_TRINITY_GG_17277_c5_g1_i1.p1,NP_000231.1,PF00890.28,OG0001041,NA
Mcav_TRINITY_GG_17277_c5_g1_i1.p1,NP_690863.1,PF12831.11,OG0001041,NA
Mcav_TRINITY_GG_17277_c5_g1_i1.p1,NP_000231.1,PF00070.31,OG0001041,NA
Mcav_TRINITY_GG_17277_c5_g1_i1.p1,NP_000231.1,PF07992.18,OG0001041,NA
Mcav_TRINITY_GG_17277_c5_g1_i1.p1,NP_000231.1,PF12831.11,OG0001041,NA
Mcav_TRINITY_GG_17277_c5_g1_i1.p1,NP_000889.3,PF07992.18,OG0001041,NA
Mcav_TRINITY_GG_17277_c5_g1_i1.p1,NP_000889.3,PF01593.28,OG0001041,NA
Mcav_TRINITY_GG_17277_c5_g1_i1.p1,NP_000889.3,PF13450.10,OG0001041,NA
Mcav_TRINITY_GG_17567_c54_g1_i4.p1,NP_000538.3,PF14670.10,OG0001778,P07911
Mcav_TRINITY_GG_17567_c54_g1_i4.p1,NP_000538.3,PF12662.11,OG0001778,P07911
Mcav_TRINITY_GG_17567_c54_g1_i4.p1,NP_000538.3,PF12947.11,OG0001778,P07911
Mcav_TRINITY_GG_17567_c54_g1_i4.p1,NP_000541.1,PF07974.17,OG0001778,P07911
Mcav_TRINITY_GG_17567_c54_g1_i4.p1,NP_000538.3,PF12661.11,OG0001778,P07911
Mcav_TRINITY_GG_17567_c54_g1_i4.p1,NP_000538.3,PF00008.31,OG0001778,P07911
Mcav_TRINITY_GG_17567_c54_g1_i4.p1,NP_000538.3,PF07645.19,OG0001778,P07911
Mcav_TRINITY_GG_17782_c0_g1_i1.p1,NP_690863.1,PF00899.25,OG0004311,Q642Q1
Mcav_TRINITY_GG_17958_c0_g1_i1.p1,NP_000363.1,PF06305.15,OG0000125,P43141
Mcav_TRINITY_GG_18097_c0_g1_i1.p1,NP_002677.1,PF08242.16,OG0011973,P65349
Mcav_TRINITY_GG_18097_c0_g1_i1.p1,NP_000745.1,PF13847.10,OG0011973,P65349
Mcav_TRINITY_GG_18097_c0_g1_i1.p1,NP_002677.1,PF13489.10,OG0011973,P65349
Mcav_TRINITY_GG_18097_c0_g1_i1.p1,NP_002677.1,PF08241.16,OG0011973,P65349
Mcav_TRINITY_GG_1822_c24_g1_i1.p1,NP_000541.1,PF21314.1,OG0007227,Q90773
Mcav_TRINITY_GG_18331_c0_g1_i2.p1,NP_002677.1,PF13489.10,OG0000449,Q8N6F8
Mcav_TRINITY_GG_18331_c0_g1_i2.p1,NP_000745.1,PF13847.10,OG0000449,Q8N6F8
Mcav_TRINITY_GG_18331_c0_g1_i2.p1,NP_002677.1,PF08241.16,OG0000449,Q8N6F8
Mcav_TRINITY_GG_18331_c0_g1_i2.p1,NP_002677.1,PF08242.16,OG0000449,Q8N6F8
Mcav_TRINITY_GG_18422_c10_g1_i2.p1,NP_000745.1,PF13578.10,OG0001002,Q86VU5
Mcav_TRINITY_GG_18422_c10_g1_i2.p1,NP_000745.1,PF01596.21,OG0001002,Q86VU5
Mcav_TRINITY_GG_18422_c10_g1_i2.p1,NP_000745.1,PF13847.10,OG0001002,Q86VU5
Mcav_TRINITY_GG_18422_c10_g1_i2.p1,NP_000745.1,PF01135.23,OG0001002,Q86VU5
Mcav_TRINITY_GG_18422_c10_g1_i2.p1,NP_002677.1,PF08241.16,OG0001002,Q86VU5
Mcav_TRINITY_GG_18422_c10_g1_i2.p1,NP_002677.1,PF08242.16,OG0001002,Q86VU5
Mcav_TRINITY_GG_18432_c25_g1_i1.p1,NP_000685.1,PF00171.26,OG0008949,Q5R4M8
Mcav_TRINITY_GG_18432_c25_g1_i1.p1,NP_001317079.1,PF00171.26,OG0008949,Q5R4M8
Mcav_TRINITY_GG_18432_c25_g1_i1.p1,NP_001026786.3,PF00171.26,OG0008949,Q5R4M8
Mcav_TRINITY_GG_18432_c25_g1_i1.p1,NP_000684.2,PF00171.26,OG0008949,Q5R4M8
Mcav_TRINITY_GG_18520_c1_g1_i1.p1,NP_000231.1,PF07687.18,OG0002391,Q08BB2
Mcav_TRINITY_GG_18656_c0_g1_i1.p1,NP_000538.3,PF03098.19,OG0000599,G5EG78
Mcav_TRINITY_GG_1874_c2_g1_i1.p1,NP_690863.1,PF07992.18,OG0003786,Q06136
Mcav_TRINITY_GG_1874_c2_g1_i1.p1,NP_000663.1,PF02826.23,OG0003786,Q06136
Mcav_TRINITY_GG_1874_c2_g1_i1.p1,NP_690863.1,PF13738.10,OG0003786,Q06136
Mcav_TRINITY_GG_1874_c2_g1_i1.p1,NP_690863.1,PF13241.10,OG0003786,Q06136
Mcav_TRINITY_GG_1874_c2_g1_i1.p1,NP_000889.3,PF13738.10,OG0003786,Q06136
Mcav_TRINITY_GG_1874_c2_g1_i1.p1,NP_000231.1,PF07992.18,OG0003786,Q06136
Mcav_TRINITY_GG_1874_c2_g1_i1.p1,NP_000660.1,PF02826.23,OG0003786,Q06136
Mcav_TRINITY_GG_1874_c2_g1_i1.p1,NP_000231.1,PF13738.10,OG0003786,Q06136
Mcav_TRINITY_GG_1874_c2_g1_i1.p1,NP_000889.3,PF07992.18,OG0003786,Q06136
Mcav_TRINITY_GG_18901_c6_g2_i1.p1,NP_690863.1,PF13454.10,OG0000981,Q6DH46
Mcav_TRINITY_GG_18901_c6_g2_i1.p1,NP_000231.1,PF13454.10,OG0000981,Q6DH46
Mcav_TRINITY_GG_18901_c6_g2_i1.p1,NP_000889.3,PF13454.10,OG0000981,Q6DH46
Mcav_TRINITY_GG_19696_c0_g1_i1.p1,NP_000538.3,PF12661.11,OG0000155,P97846
Mcav_TRINITY_GG_19696_c0_g1_i1.p1,NP_000538.3,PF00008.31,OG0000155,P97846
Mcav_TRINITY_GG_19749_c15_g1_i1.p1,NP_000231.1,PF13738.10,OG0006157,Q8IWF2
Mcav_TRINITY_GG_19749_c15_g1_i1.p1,NP_000231.1,PF03486.18,OG0006157,Q8IWF2
Mcav_TRINITY_GG_19749_c15_g1_i1.p1,NP_000889.3,PF13738.10,OG0006157,Q8IWF2
Mcav_TRINITY_GG_19749_c15_g1_i1.p1,NP_000889.3,PF07992.18,OG0006157,Q8IWF2
Mcav_TRINITY_GG_19749_c15_g1_i1.p1,NP_690863.1,PF03486.18,OG0006157,Q8IWF2
Mcav_TRINITY_GG_19749_c15_g1_i1.p1,NP_690863.1,PF13738.10,OG0006157,Q8IWF2
Mcav_TRINITY_GG_19749_c15_g1_i1.p1,NP_000889.3,PF03486.18,OG0006157,Q8IWF2
Mcav_TRINITY_GG_19749_c15_g1_i1.p1,NP_690863.1,PF07992.18,OG0006157,Q8IWF2
Mcav_TRINITY_GG_19749_c15_g1_i1.p1,NP_690863.1,PF00743.23,OG0006157,Q8IWF2
Mcav_TRINITY_GG_19749_c15_g1_i1.p1,NP_000231.1,PF07992.18,OG0006157,Q8IWF2
Mcav_TRINITY_GG_19812_c9_g1_i1.p2,NP_002677.1,PF13489.10,OG0006011,Q3ZBL4
Mcav_TRINITY_GG_19812_c9_g1_i1.p2,NP_000745.1,PF13847.10,OG0006011,Q3ZBL4
Mcav_TRINITY_GG_19812_c9_g1_i1.p2,NP_002677.1,PF08241.16,OG0006011,Q3ZBL4
Mcav_TRINITY_GG_19812_c9_g1_i1.p2,NP_002677.1,PF08242.16,OG0006011,Q3ZBL4
Mcav_TRINITY_GG_20098_c30_g1_i2.p1,NP_000778.3,PF01082.24,OG0003712,P08478
Mcav_TRINITY_GG_20098_c30_g1_i2.p1,NP_000778.3,PF03712.19,OG0003712,P08478
Mcav_TRINITY_GG_2023_c3_g1_i2.p1,NP_000541.1,PF21314.1,OG0000692,F1RRV3
Mcav_TRINITY_GG_20281_c48_g1_i1.p1,NP_000538.3,PF00084.24,OG0000268,Q4LDE5
Mcav_TRINITY_GG_20281_c49_g1_i2.p1,NP_000538.3,PF14670.10,OG0001768,Q9QYP1
Mcav_TRINITY_GG_20281_c49_g1_i2.p1,NP_000538.3,PF00084.24,OG0001768,Q9QYP1
Mcav_TRINITY_GG_20311_c3_g1_i1.p1,NP_000541.1,PF00053.28,OG0000742,Q19981
Mcav_TRINITY_GG_20311_c3_g1_i1.p1,NP_000363.1,PF00053.28,OG0000742,Q19981
Mcav_TRINITY_GG_20311_c3_g1_i1.p1,NP_000541.1,PF07974.17,OG0000742,Q19981
Mcav_TRINITY_GG_20311_c3_g1_i1.p1,NP_001913.2,PF00053.28,OG0000742,Q19981
Mcav_TRINITY_GG_20464_c5_g1_i2.p1,NP_000684.2,PF07368.15,OG0004406,Q8BH00
Mcav_TRINITY_GG_20464_c5_g1_i2.p1,NP_001026786.3,PF00171.26,OG0004406,Q8BH00
Mcav_TRINITY_GG_20464_c5_g1_i2.p1,NP_000685.1,PF00171.26,OG0004406,Q8BH00
Mcav_TRINITY_GG_20464_c5_g1_i2.p1,NP_001317079.1,PF00171.26,OG0004406,Q8BH00
Mcav_TRINITY_GG_20464_c5_g1_i2.p1,NP_000684.2,PF00171.26,OG0004406,Q8BH00
Mcav_TRINITY_GG_20606_c0_g1_i1.p1,NP_665877.1,PF13409.10,OG0007988,O15247
Mcav_TRINITY_GG_20606_c0_g1_i1.p1,NP_665877.1,PF13417.10,OG0007988,O15247
Mcav_TRINITY_GG_20606_c0_g1_i1.p1,NP_665877.1,PF13410.10,OG0007988,O15247
Mcav_TRINITY_GG_20606_c0_g1_i1.p1,NP_665877.1,PF02798.24,OG0007988,O15247
Mcav_TRINITY_GG_20608_c2_g2_i1.p1,NP_665877.1,PF00043.29,OG0008415,Q6MG61
Mcav_TRINITY_GG_20608_c2_g2_i1.p1,NP_665877.1,PF13410.10,OG0008415,Q6MG61
Mcav_TRINITY_GG_20672_c1_g1_i1.p1,NP_000541.1,PF00264.24,OG0002314,P55023
Mcav_TRINITY_GG_20672_c1_g1_i1.p1,NP_000363.1,PF00264.24,OG0002314,P55023
Mcav_TRINITY_GG_20672_c1_g1_i1.p1,NP_001913.2,PF00264.24,OG0002314,P55023
Mcav_TRINITY_GG_20763_c2_g1_i1.p1,NP_002677.1,PF08241.16,OG0011439,Q28HM1
Mcav_TRINITY_GG_20849_c9_g1_i1.p1,NP_000363.1,PF06305.15,OG0011570,NA
Mcav_TRINITY_GG_20877_c2_g1_i1.p1,NP_000745.1,PF13847.10,OG0004887,NA
Mcav_TRINITY_GG_20877_c2_g1_i1.p1,NP_002677.1,PF08241.16,OG0004887,NA
Mcav_TRINITY_GG_20877_c2_g1_i1.p1,NP_002677.1,PF08242.16,OG0004887,NA
Mcav_TRINITY_GG_20877_c2_g1_i1.p1,NP_002677.1,PF13489.10,OG0004887,NA
Mcav_TRINITY_GG_21614_c0_g1_i1.p1,NP_000538.3,PF12661.11,OG0000879,Q04721
Mcav_TRINITY_GG_21614_c0_g1_i1.p1,NP_000363.1,PF00053.28,OG0000879,Q04721
Mcav_TRINITY_GG_21614_c0_g1_i1.p1,NP_000538.3,PF12947.11,OG0000879,Q04721
Mcav_TRINITY_GG_21614_c0_g1_i1.p1,NP_000541.1,PF00053.28,OG0000879,Q04721
Mcav_TRINITY_GG_21614_c0_g1_i1.p1,NP_000541.1,PF07974.17,OG0000879,Q04721
Mcav_TRINITY_GG_21614_c0_g1_i1.p1,NP_000538.3,PF00008.31,OG0000879,Q04721
Mcav_TRINITY_GG_21614_c0_g1_i1.p1,NP_000538.3,PF07645.19,OG0000879,Q04721
Mcav_TRINITY_GG_21614_c0_g1_i1.p1,NP_001913.2,PF00053.28,OG0000879,Q04721
Mcav_TRINITY_GG_22089_c5_g1_i1.p1,NP_112485.2,PF01557.22,OG0005706,Q6GLT8
Mcav_TRINITY_GG_22089_c5_g1_i1.p1,NP_000128.1,PF01557.22,OG0005706,Q6GLT8
Mcav_TRINITY_GG_22155_c2_g1_i2.p1,NP_000745.1,PF02475.20,OG0008231,Q9NXH9
Mcav_TRINITY_GG_22225_c21_g1_i1.p1,NP_000541.1,PF11174.12,OG0002458,NA
Mcav_TRINITY_GG_22418_c9_g1_i1.p1,NP_690863.1,PF02254.22,OG0002728,O93477
Mcav_TRINITY_GG_22418_c9_g1_i1.p1,NP_000658.1,PF02254.22,OG0002728,O93477
Mcav_TRINITY_GG_22418_c9_g1_i1.p1,NP_000660.1,PF02826.23,OG0002728,O93477
Mcav_TRINITY_GG_22418_c9_g1_i1.p1,NP_000889.3,PF02254.22,OG0002728,O93477
Mcav_TRINITY_GG_22418_c9_g1_i1.p1,NP_000663.1,PF02254.22,OG0002728,O93477
Mcav_TRINITY_GG_22418_c9_g1_i1.p1,NP_000663.1,PF02826.23,OG0002728,O93477
Mcav_TRINITY_GG_22418_c9_g1_i1.p1,NP_000659.2,PF02254.22,OG0002728,O93477
Mcav_TRINITY_GG_22418_c9_g1_i1.p1,NP_000660.1,PF02254.22,OG0002728,O93477
Mcav_TRINITY_GG_22418_c9_g1_i1.p1,NP_690863.1,PF13241.10,OG0002728,O93477
Mcav_TRINITY_GG_22418_c9_g1_i1.p1,NP_000231.1,PF02254.22,OG0002728,O93477
Mcav_TRINITY_GG_22418_c9_g1_i1.p1,NP_000889.3,PF07991.16,OG0002728,O93477
Mcav_TRINITY_GG_22519_c6_g1_i4.p1,NP_000538.3,PF00008.31,OG0004414,Q5T1H1
Mcav_TRINITY_GG_22519_c6_g1_i4.p1,NP_000538.3,PF12661.11,OG0004414,Q5T1H1
Mcav_TRINITY_GG_22708_c1_g1_i1.p1,NP_000660.1,PF08240.16,OG0005371,Q0VC50
Mcav_TRINITY_GG_22708_c1_g1_i1.p1,NP_000658.1,PF08240.16,OG0005371,Q0VC50
Mcav_TRINITY_GG_22708_c1_g1_i1.p1,NP_000663.1,PF08240.16,OG0005371,Q0VC50
Mcav_TRINITY_GG_22708_c1_g1_i1.p1,NP_001159976.1,PF08240.16,OG0005371,Q0VC50
Mcav_TRINITY_GG_22708_c1_g1_i1.p1,NP_000662.3,PF08240.16,OG0005371,Q0VC50
Mcav_TRINITY_GG_22708_c1_g1_i1.p1,NP_000661.2,PF08240.16,OG0005371,Q0VC50
Mcav_TRINITY_GG_22708_c1_g1_i1.p1,NP_000659.2,PF08240.16,OG0005371,Q0VC50
Mcav_TRINITY_GG_22777_c11_g1_i2.p2,NP_000659.2,PF03721.18,OG0002327,Q95028
Mcav_TRINITY_GG_22777_c11_g1_i2.p2,NP_000661.2,PF03721.18,OG0002327,Q95028
Mcav_TRINITY_GG_22777_c11_g1_i2.p2,NP_690863.1,PF01266.28,OG0002327,Q95028
Mcav_TRINITY_GG_22777_c11_g1_i2.p2,NP_000231.1,PF01266.28,OG0002327,Q95028
Mcav_TRINITY_GG_22777_c11_g1_i2.p2,NP_690863.1,PF02737.22,OG0002327,Q95028
Mcav_TRINITY_GG_22777_c11_g1_i2.p2,NP_000660.1,PF03721.18,OG0002327,Q95028
Mcav_TRINITY_GG_22777_c11_g1_i2.p2,NP_000889.3,PF01266.28,OG0002327,Q95028
Mcav_TRINITY_GG_22777_c11_g1_i2.p2,NP_690863.1,PF03721.18,OG0002327,Q95028
Mcav_TRINITY_GG_22777_c11_g1_i2.p2,NP_000658.1,PF03721.18,OG0002327,Q95028
Mcav_TRINITY_GG_22777_c11_g1_i2.p2,NP_690863.1,PF00899.25,OG0002327,Q95028
Mcav_TRINITY_GG_22777_c11_g1_i2.p2,NP_000663.1,PF03721.18,OG0002327,Q95028
Mcav_TRINITY_GG_22795_c1_g1_i1.p1,NP_000363.1,PF06305.15,OG0001329,D4ACX8
Mcav_TRINITY_GG_22797_c2_g1_i1.p1,NP_000541.1,PF21314.1,OG0012735,NA
Mcav_TRINITY_GG_22984_c94_g1_i1.p1,NP_000344.1,PF00155.25,OG0008497,P13195
Mcav_TRINITY_GG_22984_c94_g1_i1.p1,NP_000781.2,PF01212.25,OG0008497,P13195
Mcav_TRINITY_GG_22984_c94_g1_i1.p1,NP_000344.1,PF01053.24,OG0008497,P13195
Mcav_TRINITY_GG_22984_c94_g1_i1.p1,NP_000344.1,PF01041.21,OG0008497,P13195
Mcav_TRINITY_GG_22984_c94_g1_i1.p1,NP_000781.2,PF00155.25,OG0008497,P13195
Mcav_TRINITY_GG_22984_c94_g1_i1.p1,NP_000344.1,PF01212.25,OG0008497,P13195
Mcav_TRINITY_GG_22984_c94_g1_i1.p1,NP_002071.2,PF00155.25,OG0008497,P13195
Mcav_TRINITY_GG_22984_c94_g1_i1.p1,NP_002070.1,PF00155.25,OG0008497,P13195
Mcav_TRINITY_GG_22984_c94_g1_i1.p1,NP_000745.1,PF13847.10,OG0008497,P13195
Mcav_TRINITY_GG_22984_c94_g1_i1.p1,NP_000344.1,PF00266.23,OG0008497,P13195
Mcav_TRINITY_GG_23021_c85_g1_i2.p1,NP_002071.2,PF00155.25,OG0002600,Q28DB5
Mcav_TRINITY_GG_23021_c85_g1_i2.p1,NP_000781.2,PF01212.25,OG0002600,Q28DB5
Mcav_TRINITY_GG_23021_c85_g1_i2.p1,NP_000344.1,PF00155.25,OG0002600,Q28DB5
Mcav_TRINITY_GG_23021_c85_g1_i2.p1,NP_002070.1,PF00155.25,OG0002600,Q28DB5
Mcav_TRINITY_GG_23021_c85_g1_i2.p1,NP_000344.1,PF00266.23,OG0002600,Q28DB5
Mcav_TRINITY_GG_23021_c85_g1_i2.p1,NP_000344.1,PF01212.25,OG0002600,Q28DB5
Mcav_TRINITY_GG_23021_c85_g1_i2.p1,NP_000781.2,PF00155.25,OG0002600,Q28DB5
Mcav_TRINITY_GG_23021_c87_g2_i1.p1,NP_000658.1,PF08240.16,OG0002852,Q5JI69
Mcav_TRINITY_GG_23021_c87_g2_i1.p1,NP_000889.3,PF01262.25,OG0002852,Q5JI69
Mcav_TRINITY_GG_23021_c87_g2_i1.p1,NP_000660.1,PF16912.9,OG0002852,Q5JI69
Mcav_TRINITY_GG_23021_c87_g2_i1.p1,NP_000661.2,PF00107.30,OG0002852,Q5JI69
Mcav_TRINITY_GG_23021_c87_g2_i1.p1,NP_000231.1,PF01262.25,OG0002852,Q5JI69
Mcav_TRINITY_GG_23021_c87_g2_i1.p1,NP_001159976.1,PF00107.30,OG0002852,Q5JI69
Mcav_TRINITY_GG_23021_c87_g2_i1.p1,NP_000659.2,PF16912.9,OG0002852,Q5JI69
Mcav_TRINITY_GG_23021_c87_g2_i1.p1,NP_000659.2,PF01262.25,OG0002852,Q5JI69
Mcav_TRINITY_GG_23021_c87_g2_i1.p1,NP_000659.2,PF08240.16,OG0002852,Q5JI69
Mcav_TRINITY_GG_23021_c87_g2_i1.p1,NP_000661.2,PF08240.16,OG0002852,Q5JI69
Mcav_TRINITY_GG_23021_c87_g2_i1.p1,NP_000660.1,PF00107.30,OG0002852,Q5JI69
Mcav_TRINITY_GG_23021_c87_g2_i1.p1,NP_000663.1,PF02826.23,OG0002852,Q5JI69
Mcav_TRINITY_GG_23021_c87_g2_i1.p1,NP_001159976.1,PF16912.9,OG0002852,Q5JI69
Mcav_TRINITY_GG_23021_c87_g2_i1.p1,NP_000658.1,PF13602.10,OG0002852,Q5JI69
Mcav_TRINITY_GG_23021_c87_g2_i1.p1,NP_000662.3,PF16912.9,OG0002852,Q5JI69
Mcav_TRINITY_GG_23021_c87_g2_i1.p1,NP_002677.1,PF08241.16,OG0002852,Q5JI69
Mcav_TRINITY_GG_23021_c87_g2_i1.p1,NP_000660.1,PF13602.10,OG0002852,Q5JI69
Mcav_TRINITY_GG_23021_c87_g2_i1.p1,NP_000663.1,PF08240.16,OG0002852,Q5JI69
Mcav_TRINITY_GG_23021_c87_g2_i1.p1,NP_000661.2,PF16912.9,OG0002852,Q5JI69
Mcav_TRINITY_GG_23021_c87_g2_i1.p1,NP_000659.2,PF13602.10,OG0002852,Q5JI69
Mcav_TRINITY_GG_23021_c87_g2_i1.p1,NP_690863.1,PF01262.25,OG0002852,Q5JI69
Mcav_TRINITY_GG_23021_c87_g2_i1.p1,NP_000663.1,PF13602.10,OG0002852,Q5JI69
Mcav_TRINITY_GG_23021_c87_g2_i1.p1,NP_000658.1,PF01262.25,OG0002852,Q5JI69
Mcav_TRINITY_GG_23021_c87_g2_i1.p1,NP_001159976.1,PF08240.16,OG0002852,Q5JI69
Mcav_TRINITY_GG_23021_c87_g2_i1.p1,NP_000658.1,PF16912.9,OG0002852,Q5JI69
Mcav_TRINITY_GG_23021_c87_g2_i1.p1,NP_000660.1,PF02826.23,OG0002852,Q5JI69
Mcav_TRINITY_GG_23021_c87_g2_i1.p1,NP_000662.3,PF00107.30,OG0002852,Q5JI69
Mcav_TRINITY_GG_23021_c87_g2_i1.p1,NP_000662.3,PF13602.10,OG0002852,Q5JI69
Mcav_TRINITY_GG_23021_c87_g2_i1.p1,NP_000663.1,PF00107.30,OG0002852,Q5JI69
Mcav_TRINITY_GG_23021_c87_g2_i1.p1,NP_000659.2,PF00107.30,OG0002852,Q5JI69
Mcav_TRINITY_GG_23021_c87_g2_i1.p1,NP_000658.1,PF00107.30,OG0002852,Q5JI69
Mcav_TRINITY_GG_23021_c87_g2_i1.p1,NP_000661.2,PF13602.10,OG0002852,Q5JI69
Mcav_TRINITY_GG_23021_c87_g2_i1.p1,NP_000662.3,PF08240.16,OG0002852,Q5JI69
Mcav_TRINITY_GG_23021_c87_g2_i1.p1,NP_000660.1,PF08240.16,OG0002852,Q5JI69
Mcav_TRINITY_GG_23572_c0_g1_i1.p1,NP_000541.1,PF06365.16,OG0004001,P23654
Mcav_TRINITY_GG_23626_c0_g1_i1.p1,NP_000889.3,PF01946.21,OG0001864,Q801S2
Mcav_TRINITY_GG_23626_c0_g1_i1.p1,NP_690863.1,PF00890.28,OG0001864,Q801S2
Mcav_TRINITY_GG_23626_c0_g1_i1.p1,NP_000231.1,PF03486.18,OG0001864,Q801S2
Mcav_TRINITY_GG_23626_c0_g1_i1.p1,NP_690863.1,PF03486.18,OG0001864,Q801S2
Mcav_TRINITY_GG_23626_c0_g1_i1.p1,NP_690863.1,PF01494.23,OG0001864,Q801S2
Mcav_TRINITY_GG_23626_c0_g1_i1.p1,NP_000231.1,PF07992.18,OG0001864,Q801S2
Mcav_TRINITY_GG_23626_c0_g1_i1.p1,NP_000889.3,PF07992.18,OG0001864,Q801S2
Mcav_TRINITY_GG_23626_c0_g1_i1.p1,NP_000231.1,PF01946.21,OG0001864,Q801S2
Mcav_TRINITY_GG_23626_c0_g1_i1.p1,NP_000889.3,PF03486.18,OG0001864,Q801S2
Mcav_TRINITY_GG_23626_c0_g1_i1.p1,NP_000231.1,PF01494.23,OG0001864,Q801S2
Mcav_TRINITY_GG_23626_c0_g1_i1.p1,NP_690863.1,PF01946.21,OG0001864,Q801S2
Mcav_TRINITY_GG_23626_c0_g1_i1.p1,NP_690863.1,PF01134.26,OG0001864,Q801S2
Mcav_TRINITY_GG_23626_c0_g1_i1.p1,NP_000889.3,PF00890.28,OG0001864,Q801S2
Mcav_TRINITY_GG_23626_c0_g1_i1.p1,NP_000231.1,PF00890.28,OG0001864,Q801S2
Mcav_TRINITY_GG_23626_c0_g1_i1.p1,NP_690863.1,PF01266.28,OG0001864,Q801S2
Mcav_TRINITY_GG_23626_c0_g1_i1.p1,NP_000231.1,PF01134.26,OG0001864,Q801S2
Mcav_TRINITY_GG_23626_c0_g1_i1.p1,NP_000889.3,PF01134.26,OG0001864,Q801S2
Mcav_TRINITY_GG_23626_c0_g1_i1.p1,NP_690863.1,PF07992.18,OG0001864,Q801S2
Mcav_TRINITY_GG_23626_c0_g1_i1.p1,NP_000889.3,PF01266.28,OG0001864,Q801S2
Mcav_TRINITY_GG_23626_c0_g1_i1.p1,NP_000231.1,PF01266.28,OG0001864,Q801S2
Mcav_TRINITY_GG_23626_c0_g1_i1.p1,NP_000889.3,PF01494.23,OG0001864,Q801S2
Mcav_TRINITY_GG_2363_c3_g1_i1.p1,NP_690863.1,PF07992.18,OG0006988,Q9Y5K3
Mcav_TRINITY_GG_2363_c3_g1_i1.p1,NP_000889.3,PF01593.28,OG0006988,Q9Y5K3
Mcav_TRINITY_GG_2363_c3_g1_i1.p1,NP_000231.1,PF01266.28,OG0006988,Q9Y5K3
Mcav_TRINITY_GG_2363_c3_g1_i1.p1,NP_000231.1,PF00890.28,OG0006988,Q9Y5K3
Mcav_TRINITY_GG_2363_c3_g1_i1.p1,NP_690863.1,PF00070.31,OG0006988,Q9Y5K3
Mcav_TRINITY_GG_2363_c3_g1_i1.p1,NP_000889.3,PF21799.1,OG0006988,Q9Y5K3
Mcav_TRINITY_GG_2363_c3_g1_i1.p1,NP_690863.1,PF00743.23,OG0006988,Q9Y5K3
Mcav_TRINITY_GG_2363_c3_g1_i1.p1,NP_000889.3,PF13450.10,OG0006988,Q9Y5K3
Mcav_TRINITY_GG_2363_c3_g1_i1.p1,NP_000231.1,PF12831.11,OG0006988,Q9Y5K3
Mcav_TRINITY_GG_2363_c3_g1_i1.p1,NP_000889.3,PF13738.10,OG0006988,Q9Y5K3
Mcav_TRINITY_GG_2363_c3_g1_i1.p1,NP_690863.1,PF01266.28,OG0006988,Q9Y5K3
Mcav_TRINITY_GG_2363_c3_g1_i1.p1,NP_000889.3,PF07991.16,OG0006988,Q9Y5K3
Mcav_TRINITY_GG_2363_c3_g1_i1.p1,NP_000889.3,PF07992.18,OG0006988,Q9Y5K3
Mcav_TRINITY_GG_2363_c3_g1_i1.p1,NP_000231.1,PF00070.31,OG0006988,Q9Y5K3
Mcav_TRINITY_GG_2363_c3_g1_i1.p1,NP_690863.1,PF00890.28,OG0006988,Q9Y5K3
Mcav_TRINITY_GG_2363_c3_g1_i1.p1,NP_000231.1,PF01593.28,OG0006988,Q9Y5K3
Mcav_TRINITY_GG_2363_c3_g1_i1.p1,NP_690863.1,PF03486.18,OG0006988,Q9Y5K3
Mcav_TRINITY_GG_2363_c3_g1_i1.p1,NP_000889.3,PF03486.18,OG0006988,Q9Y5K3
Mcav_TRINITY_GG_2363_c3_g1_i1.p1,NP_000231.1,PF21799.1,OG0006988,Q9Y5K3
Mcav_TRINITY_GG_2363_c3_g1_i1.p1,NP_000889.3,PF01946.21,OG0006988,Q9Y5K3
Mcav_TRINITY_GG_2363_c3_g1_i1.p1,NP_690863.1,PF01946.21,OG0006988,Q9Y5K3
Mcav_TRINITY_GG_2363_c3_g1_i1.p1,NP_690863.1,PF13738.10,OG0006988,Q9Y5K3
Mcav_TRINITY_GG_2363_c3_g1_i1.p1,NP_000231.1,PF07992.18,OG0006988,Q9Y5K3
Mcav_TRINITY_GG_2363_c3_g1_i1.p1,NP_000231.1,PF13738.10,OG0006988,Q9Y5K3
